no,lat,long,bp,er,site,feature
2599,36.452076,126.5821051,2452,31,보령 진죽리 유적,8호 주거지 - 흑색부식토층
2600,36.452076,126.5821051,2467,27,보령 진죽리 유적,9호 주거지 - 중앙타원형 수혈
2601,36.2642553,127.0297971,2356,39,"부여 송국리Ⅶ -제 12,13차 발굴조사-",54지구 26호 주거지 내부토
2602,36.2652813,127.031851,2485,32,부여 송국리Ⅷ -제14차 발굴조사-,23호 - 주거지 북동 모서리 주공 내부
2603,36.2652813,127.031851,2466,29,부여 송국리Ⅷ -제14차 발굴조사-,51호 - 중앙 노지
2604,36.2652813,127.031851,2510,29,부여 송국리Ⅷ -제14차 발굴조사-,52호 - 주거지 바닥면
2605,36.2652813,127.031851,2448,32,부여 송국리Ⅷ -제14차 발굴조사-,67호 - 주거지 북쪽 바닥면
2606,36.2652813,127.031851,2418,32,부여 송국리Ⅷ -제14차 발굴조사-,70호 - 주거지 서북쪽 바닥면
2607,36.2671524,127.0305348,2475,29,부여 송국리Ⅸ -제15차 발굴조사 -,75호 - 서쪽 바닥면
2608,36.2671524,127.0305348,2505,29,부여 송국리Ⅸ -제15차 발굴조사 -,77호 - 바닥면
2609,37.5242593,126.8175697,2826,31,부천 고강동 선사유적(제 7차 발굴조사),13호주거지
2610,36.8142301,126.5686758,2890,29,서산 갈산리 산 19-6유적,청동기시대 2호 주거지
2611,36.7117777,126.5023675,2441,43,서산 기지리유적,36호주거지 토층 중간
2612,36.80108,126.47788,2867,18,서산 부산리 낫골∙항갈골유적,청동기시대 1호
2613,36.80108,126.47788,2850,18,서산 부산리 낫골∙항갈골유적,청동기시대 2호
2614,36.7934764,126.4829429,2531,32,서산 상홍리 숯가마터 도당리 유적,청동기시대 3호 주거지(재층)
2615,36.7934764,126.4829429,2510,29,서산 상홍리 숯가마터 도당리 유적,청동기시대 9호 주거지(작업공 내부)
2616,36.6497723,126.5421558,2690,36,서산 신송리유적,14호
2617,36.6497723,126.5421558,2916,39,서산 신송리유적,16호
2618,36.6497723,126.5421558,2575,36,서산 신송리유적,1호
2619,36.6497723,126.5421558,2735,36,서산 신송리유적,9호
2620,36.8268855,126.4581085,2858,31,서산 왕정리유적,Ⅰ유적 1호
2621,36.8129186,126.4046515,2841,31,서산 일람리 유적,1호 주거지
2622,36.8129186,126.4046515,2914,31,서산 일람리 유적,2호 주거지
2623,37.5566265,127.1303983,2888,31,서울 고덕동 유적,D구역 1호 주거지 - 1구역 바닥면-1
2624,37.5566265,127.1303983,2891,32,서울 고덕동 유적,D구역 2호 주거지 - 3구역 노출면 3cm하강-1
2625,37.5566265,127.1303983,2361,25,서울 고덕동 유적,D구역 3호 주거지 - 바닥면-1
2626,37.5566265,127.1303983,2567,24,서울 고덕동 유적,D구역 5호 주거지 - 노지주변 바닥면-1
2627,37.4977988,126.8179867,2911,29,서울 천왕동 연지유적,1호 주거지
2628,36.1160949,126.6985914,2645,36,서천 석촌리 대월골 유적,2호 주거지 주공주변바닥2
2629,36.0593349,126.7735629,2315,30,서천 추동리 유적,A-10호 주거지
2630,36.0593349,126.7735629,2760,40,서천 추동리 유적,A-1호 주거지
2631,36.0593349,126.7735629,2620,60,서천 추동리 유적,A-4호 주거지
2632,36.0593349,126.7735629,2501,49,서천 추동리 유적,A-5호 주거지
2633,37.3969021,127.10607,2670,36,성남 동판교 유적,21-1지점 12호 주거지
2634,37.3969021,127.10607,2920,36,성남 동판교 유적,24-1지점 18호 주거지
2635,37.3969021,127.10607,2597,41,성남 동판교 유적,24-1지점 2호 주거지
2636,37.3969021,127.10607,2675,26,성남 동판교 유적,24-1지점 3호 주거지
2637,37.3969021,127.10607,2680,50,성남 동판교 유적,24-1지점 9호 주거지
2638,37.4714378,127.1543054,2823,21,성남 창곡동유적,다지구 1호
2639,36.263595,127.0315419,2541,21,송국리ⅩⅤ,"청동기시대 109호 주거지, 내부 서쪽"
2640,37.3077914,126.9666319,2801,29,수원 율전동 유적,1호주거지
2641,37.3077914,126.9666319,3043,34,수원 율전동 유적,3호주거지
2642,37.3190085,126.9836556,2925,43,수원 이목동 유적,1호 주거지-1
2643,34.9242226,127.4631605,2898,32,순천 마륜리 마륜유적,1구역 1호 주거지
2644,34.9242226,127.4631605,2907,26,순천 마륜리 마륜유적,2구역 2호 주거지
2645,35.112859,127.4409399,3026,94,순천 죽내리유적,1호 주거지
2646,37.3893697,126.8573546,3009,38,시흥 목감동 유적,청동기시대주거지
2647,36.7927215,126.9507373,2155,36,아산 남성리 유적,1지점 10호
2648,36.7927215,126.9507373,2758,36,아산 남성리 유적,1지점 12호
2649,36.7927215,126.9507373,2570,36,아산 남성리 유적,1지점 14호
2650,36.796343,126.86627,2860,36,아산 대흥리 큰선장유적,14호
2651,36.796343,126.86627,2776,37,아산 대흥리 큰선장유적,1호
2652,36.8128954,127.0595929,2591,29,아산 명암리유적 11지점,청동기시대 전기 7호 주거지
2653,36.7721739,127.0225715,2718,37,아산 밤줄길 유적,4호
2654,36.8034859,127.0340251,2851,29,아산 백암리 점배골유적,KC-004 주공
2655,36.753409,126.8955935,2470,24,아산 시전리 유적,아산 시전리 1호주거지-3
2656,36.8223603,127.0468801,2824,29,아산 용두리 산골 유적,Ⅱ-1-1호
2657,36.8223603,127.0468801,2831,27,아산 용두리 산골 유적,Ⅱ-1-2호
2658,36.8223603,127.0468801,2830,36,아산 용두리 산골 유적,Ⅱ-1-5호
2659,36.8223603,127.0468801,2848,26,아산 용두리 산골 유적,Ⅱ-1-9호
2660,36.7700947,127.0013076,2752,43,아산 용화동 가재골유적,1지점 24호
2661,36.7700947,127.0013076,2863,28,아산 용화동 가재골유적,2지점 3호
2662,36.7918048,127.0942438,2796,36,아산 장재리 안강골유적(Ⅰ),청동기 1호
2663,36.7694905,127.0244763,2542,39,아산 풍기동 밤줄길유적(Ⅱ),15호
2664,36.4203032,126.4100557,2620,80,"안면도 고남리 패총 3,4차 발굴",B-2 패총 3호 주거지
2665,37.0072403,127.170633,2921,36,안성 만정리 신기유적,5지점 청동기 2호 주거지
2666,37.4116264,126.9713625,2535,29,안양 관양동 선사유적,7호 주거지
2667,36.3528687,127.0784944,2406,39,안영리유적,10호 - 바닥층 수습
2668,35.3937102,129.1555381,2707,15,양산 주진동 55-15 유적,청13호 주거지
2669,37.9220034,128.7795525,2737,36,양양 임호정리 유적,5호 주거지
2670,37.8104769,127.0723993,2525,29,양주 고암동 유적,주거지 1호-1
2671,37.8104769,127.0723993,2510,29,양주 고암동 유적,주거지 2호-3
2672,34.8437015,127.7172487,2738,39,여수 월내동 상촌지석묘,상촌 지석묘Ⅲ 1호
2673,34.8439868,127.7182384,2738,39,"여수 월내동 상촌지석묘(여수 적량동 상전 지석묘 I, II, IV)",상촌 지석묘Ⅱ 2호
2674,34.8439868,127.7182384,2446,39,"여수 월내동 상촌지석묘(여수 적량동 상전 지석묘 I, II, IV)",상촌 지석묘Ⅱ 3호(중기)
2675,34.6953307,127.6049463,2535,29,여수 화동리 안골유적,3호
2676,34.6953307,127.6049463,2375,29,여수 화동리 안골유적,4호
2677,35.9010102,127.4386776,2507,41,여의곡 유적,A-1호
2678,35.9010102,127.4386776,2395,32,여의곡 유적,A-3호
2679,37.2821302,127.6559317,2480,22,여주 매룡동유적,청동기시대 1호 주거지 바닥 남벽 부근
2680,37.2420242,127.6641895,2520,120,여주 흔암리,7호 주거지 바닥면
2681,37.2420242,127.6641895,2631,91,여주 흔암리 주거지 3,8호 주거지 바닥(75YH09CSⅠ)
2682,37.2420242,127.6641895,2950,50,여주 흔암리 주거지 4,12호 주거지 서반부 바닥층
2683,37.2420242,127.6641895,2202,43,여주 흔암리 주거지 4,13호 주거지 B지점
2684,37.2420242,127.6641895,2117,43,여주 흔암리 주거지 4,14호 주거지 B지점
2685,36.4800984,127.2890354,2895,36,연기 대평리 유적,"3-1,2-C지점 2호"
2686,36.4800984,127.2890354,2902,36,연기 대평리 유적,"3-1,2-C지점 3호"
2687,36.4720394,127.2716074,2954,32,연기 대평리유적,KC-004
2688,36.4720394,127.2716074,2885,29,연기 대평리유적,KC-005
2689,36.4720394,127.2716074,2925,29,연기 대평리유적,KC-007
2690,36.4720394,127.2716074,2935,29,연기 대평리유적,KC-010
2691,36.4720394,127.2716074,3069,34,연기 대평리유적,KC-012
2692,36.4720394,127.2716074,2863,32,연기 대평리유적,KC-013
2693,36.5466428,127.2884807,2790,43,연기 보통리유적,2호
2694,36.5466428,127.2884807,2786,43,연기 보통리유적,3호
2695,36.5466428,127.2884807,2842,43,연기 보통리유적,4호
2696,36.5466428,127.2884807,2816,43,연기 보통리유적,5호
2697,36.5466428,127.2884807,2895,43,연기 보통리유적,7호
2698,36.5466428,127.2884807,2940,43,연기 보통리유적,8호
2699,36.5466428,127.2884807,2875,43,연기 보통리유적,9호
2700,36.4957324,127.3046888,2878,32,연기 봉기리 유적; 116번 유적(연기 석삼리 대박골·봉기리·반속리유적),C지점 청동기 주거지 1호 - 좌측토층 근처 바닥면
2701,36.4957324,127.3046888,2980,29,연기 봉기리 유적; 116번 유적(연기 석삼리 대박골·봉기리·반속리유적),C지점 청동기 주거지 2호 - 내부 중간층
2702,36.4957324,127.3046888,2855,29,연기 봉기리 유적; 116번 유적(연기 석삼리 대박골·봉기리·반속리유적),C지점 청동기 주거지 3호 - 내부
2703,36.4957324,127.3046888,2850,29,연기 봉기리 유적; 116번 유적(연기 석삼리 대박골·봉기리·반속리유적),D지점 청동기 주거지 1호-2
2704,36.538704,127.2769859,2859,27,연기 연기리유적,74-1호 
2705,36.5590171,127.3266613,2740,36,연기 용호리 유적,11호 주거지 2
2706,36.5590171,127.3266613,2779,32,연기 용호리 유적,1호 주거지 2
2707,36.5419186,127.3511899,2778,39,연기 응암리 가마골 유적(B지구),CBD-001
2708,36.4806145,127.3082727,2835,29,연기 장재리유적,103지점 22호(2)
2709,36.4806145,127.3082727,2914,24,연기 장재리유적,103지점 25호(3)
2710,36.4806145,127.3082727,2745,29,연기 장재리유적,103지점 7호(2)
2711,36.4806145,127.3082727,2912,18,연기 장재리유적,103지점 8호(5)
2712,36.4806145,127.3082727,2950,29,연기 장재리유적,103지점 9호(2)
2713,38.1364701,127.0327593,2478,29,연천 합수리유적(H지역),청동기 6호
2714,36.0023308,129.0433085,2685,29,영천 고경면 해선리유적,10호 주거지-1
2715,36.0023308,129.0433085,2790,29,영천 고경면 해선리유적,8호 주거지-1
2716,35.8854375,129.0213811,2976,43,영천 신리리 유적,2호 - 바닥
2717,36.6901375,126.7517378,2570,39,예산 삽교 두리 유적,5호
